"","project_shortcode","locality","latitude","longitude","length","observedweight","lengthtype","length2","length2type","datecollected","institutioncode","interaction_order","catalognumber...13","datelastmodified","timezone","yearcollected","monthcollected","daycollected","julianday","timeofday","sex","the_geom","catalognumber...23","cat_num","chlorophyll_mg_m3"
"1","CTCCOB",NA,24.58,-81.83,0.762,NA,"FL",NA,NA,1992-06-13,"SEFSC",1,"CTCCOB-228842",2026-05-05,"UTC",1992,6,13,165,00:00:00,NA,"POINT(-81.83 24.58)","CTCCOB-228842","CTCCOB-228842-1",NA
"2","CTCCOB",NA,28.41667,-80.5,0.8128,NA,"FL",NA,NA,1992-06-15,"SEFSC",2,"CTCCOB-56157",2026-05-05,"UTC",1992,6,15,167,00:00:00,NA,"POINT(-80.5 28.41667)","CTCCOB-56157","CTCCOB-56157-2",NA
"3","CTCCOB",NA,24.58333,-81.08333,0.8382,NA,"FL",NA,NA,1992-06-15,"SEFSC",2,"CTCCOB-194519",2026-05-05,"UTC",1992,6,15,167,00:00:00,NA,"POINT(-81.08333 24.58333)","CTCCOB-194519","CTCCOB-194519-2",NA
"4","CTCCOB",NA,30,-84,0.889,NA,"FL",NA,NA,1994-05-28,"SEFSC",2,"CTCCOB-55198",2026-05-05,"UTC",1994,5,28,148,00:00:00,NA,"POINT(-84.0 30.0)","CTCCOB-55198","CTCCOB-55198-2",NA
"5","CTCCOB",NA,24.66667,-81.83333,0.9398,NA,"FL",NA,NA,1992-10-10,"SEFSC",2,"CTCCOB-159910",2026-05-05,"UTC",1992,10,10,284,00:00:00,NA,"POINT(-81.83333 24.66667)","CTCCOB-159910","CTCCOB-159910-2",NA
"6","CTCCOB",NA,35.018,-76.014,0.9652,NA,"FL",NA,NA,2019-10-13,"SEFSC",2,"CTCCOB-443939",2026-05-05,"UTC",2019,10,13,286,00:00:00,NA,"POINT(-76.014 35.018)","CTCCOB-443939","CTCCOB-443939-2",2.28919291496277
"7","CTCCOB",NA,28.75,-95.33333,1.016,NA,"FL",NA,NA,1993-08-05,"SEFSC",2,"CTCCOB-205002",2026-05-05,"UTC",1993,8,5,217,00:00:00,NA,"POINT(-95.33333 28.75)","CTCCOB-205002","CTCCOB-205002-2",NA
"8","CTCCOB",NA,30.08333,-84.2,1.016,NA,"FL",NA,NA,1998-07-18,"SEFSC",2,"CTCCOB-339839",2026-05-05,"UTC",1998,7,18,199,00:00:00,NA,"POINT(-84.2 30.08333)","CTCCOB-339839","CTCCOB-339839-2",NA
"9","CTCCOB",NA,33.6905,-76.69733,1.0922,NA,"FL",NA,NA,1992-04-05,"SEFSC",2,"CTCCOB-178675",2026-05-05,"UTC",1992,4,5,96,00:00:00,NA,"POINT(-76.69733 33.6905)","CTCCOB-178675","CTCCOB-178675-2",NA
"10","CTCCOB",NA,24.33,-81.75,0.762,5.44310844,"FL",NA,NA,1991-03-29,"SEFSC",1,"CTCCOB-159910",2026-05-05,"UTC",1991,3,29,88,00:00:00,NA,"POINT(-81.75 24.33)","CTCCOB-159910","CTCCOB-159910-1",NA
