"","...1","X","datecollected","latitude","longitude","project_shortcode","catalogNumber","length","timeofday","interaction_order","data_source","mean.chlorophyll","zone","date","temp","bottom_temp","salinity","east_velo","north_velo"
"1",1,1,2003-01-19,28.859,-88.063,"USMCOB","USMCOB-RC33703",1.02,00:00:00,2,"mark-recapture",0.332176834344864,11,2003-01-19,19.397412031889,4.08200325071812,35.8485671225935,0.183721426874399,-0.15930661931634
"2",2,2,2003-02-25,24.924,-80.625,"USMCOB","USMCOB-RC37237",NA,00:00:00,2,"mark-recapture",NA,NA,2003-02-25,23.6814783141017,23.655110321939,36.2163151614368,-0.0469985045492649,0.0640888698399067
"3",4,4,2003-03-26,24.563,-81.726,"USMCOB","USMCOB-RC29197",0.91,00:00:00,2,"mark-recapture",NA,1,2003-03-26,25.3675649240613,25.5089266598225,36.0530411358923,-0.152592547237873,-0.143436994403601
"4",9,9,2003-04-03,30.333,-87.15,"USMCOB","USMCOB-RC32878",1.22,00:00:00,2,"mark-recapture",3.70929944515228,10,2003-04-03,18.9161961749196,20.6271858885884,27.5292214471847,0.0592059083282948,0.0787377543747425
"5",11,11,2003-04-08,24.924,-80.625,"USMCOB","USMCOB-T1080",0.95,00:00:00,2,"mark-recapture",NA,NA,2003-04-08,25.4349497929215,25.4752342253923,36.1095003783703,-0.0103762932121754,0.190435498952866
"6",14,14,2003-04-16,29.212,-80.998,"USMCOB","USMCOB-RC30039",0.97,00:00:00,2,"mark-recapture",NA,7,2003-04-16,22.4846644476056,22.3315836042166,36.2315744161606,-0.0701925717294216,0.0439466536045074
"7",19,19,2003-04-19,28.14,-82.8,"USMCOB","USMCOB-RC37378",0.81,00:00:00,2,"mark-recapture",NA,6,2003-04-19,23.6309396624565,23.4478286057711,33.8908047415316,-0.04089480265975,-0.0482192449271679
"8",25,25,2003-04-26,30.244,-88.777,"USMCOB","USMCOB-RC36866",0.93,00:00:00,2,"mark-recapture",NA,11,2003-04-26,24.5618762746453,24.7288735583425,9.70793785527349,0.207525864243507,-0.0903347879648209
"9",29,29,2003-05-02,29.38,-88.62,"USMCOB","USMCOB-RC34698",0.88,00:00:00,2,"mark-recapture",NA,11,2003-05-02,24.0953093022108,19.7270119339228,25.5607775878161,-0.0714133121073246,-0.191045869141817
"10",30,30,2003-05-03,29.336,-88.11,"USMCOB","USMCOB-RC30362",1.14,00:00:00,2,"mark-recapture",NA,11,2003-05-03,23.9026764705777,19.6273995190859,31.2860499601811,-0.150151066482067,-0.0299081392586231
"11",31,31,2003-05-03,29.988,-88.215,"USMCOB","USMCOB-RC33473",1.05,00:00:00,2,"mark-recapture",NA,11,2003-05-03,24.8541215211153,20.9597155675292,17.3757133539766,0.0225836969912052,-0.117801446467638
"12",32,32,2003-05-05,27.025,-82.469,"USMCOB","USMCOB-RC30575",1.02,00:00:00,2,"mark-recapture",NA,5,2003-05-05,27.0353404283524,26.97967466712,36.0927151981741,-0.109866634011269,0.190435498952866
"13",34,34,2003-05-14,26.955,-82.06,"USMCOB","USMCOB-RC36450",0.83,00:00:00,2,"mark-recapture",NA,4,2003-05-14,29.2041077837348,29.0971709266305,36.245307745412,0.0665303505957127,-0.00976592302322388
"14",37,37,2003-06-17,30.079,-87.3,"USMCOB","USMCOB-RC34690",1.32,00:00:00,2,"mark-recapture",NA,10,2003-06-17,29.0231940597296,22.8318430110812,27.1782585885376,-0.0238044373691082,0.0366222113370895
"15",39,39,2003-06-26,29.475,-91.34,"USMCOB","USMCOB-RC37239",NA,00:00:00,2,"mark-recapture",NA,14,2003-06-26,29.9651173353195,29.8354747071862,24.2774742655456,-0.0225836969912052,0.0311288796365261
"16",40,40,2003-07-01,28.916667,-82.95,"USMCOB","USMCOB-RC37371",0.89,00:00:00,2,"mark-recapture",NA,6,2003-07-01,29.2605059891939,29.2597735449672,36.0683003906161,-0.0634784996509552,0.123905148357153
"17",43,43,2003-07-12,29.347,-88.282,"USMCOB","USMCOB-RC36502",0.94,00:00:00,2,"mark-recapture",NA,11,2003-07-12,28.6657612770796,21.5083162933588,23.9600817672908,0.0469985045492649,-0.0750755332410336
"18",44,44,2003-07-17,35.594,-75.459,"USMCOB","USMCOB-RC28499",NA,00:00:00,2,"mark-recapture",NA,7,2003-07-17,NA,NA,NA,NA,NA
"19",48,48,2003-08-15,26.983,-83.467,"USMCOB","USMCOB-RC31279",1.07,00:00:00,2,"mark-recapture",NA,4,2003-08-15,29.0554216057062,23.4368419423699,35.1145969703794,-0.0183111056685448,0.180669575929642
"20",50,50,2003-09-10,28.792,-82.81,"USMCOB","USMCOB-RC30989",0.89,00:00:00,2,"mark-recapture",5.71781194210052,6,2003-09-10,29.0554216057062,29.0539567172527,35.7051301281899,0.0140385143458843,-0.0799584947526455
"21",57,57,2004-01-02,29.077,-80.91,"USMCOB","USMCOB-RC32503",NA,00:00:00,2,"mark-recapture",NA,7,2004-01-02,20.7714774012566,20.6447645500302,36.3597521558404,-0.0726340524852276,0.0549333170056343
"22",58,58,2004-01-06,25.156,-81.14,"USMCOB","USMCOB-RC37301",0.86,00:00:00,2,"mark-recapture",NA,3,2004-01-06,23.1768242418766,23.0413220599294,36.3078706897795,0.0762962736189365,-0.116580706089735
"23",61,61,2004-03-14,28.20435,-80.3302,"USMCOB","USMCOB-RC32041",1.17,00:00:00,2,"mark-recapture",0.484260320663452,6,2004-03-14,22.0854823440313,22.0657063499093,36.2987151369452,-0.0891140475869179,0.15137180685997
"24",65,65,2004-04-06,30.38,-86.5,"USMCOB","USMCOB-RC36802",1.12,00:00:00,2,"mark-recapture",NA,9,2004-04-06,18.8949552923441,18.7741019949317,34.8490859381855,-0.0262459181249142,0.0231940671801567
"25",69,69,2004-04-17,30.333,-87.15,"USMCOB","USMCOB-CB28364",1.47,00:00:00,2,"mark-recapture",2.66248846054077,10,2004-04-17,19.5351115465164,20.1635486930609,28.1884212512523,0.0555436871945858,0.0933866389095783
"26",71,71,2004-04-20,24.378,-81.758,"USMCOB","USMCOB-RC36590",1.02,00:00:00,2,"mark-recapture",NA,1,2004-04-20,24.2051759362221,19.3732413724065,36.2987151369452,-0.0152592547237873,0.04089480265975
"27",82,82,2004-04-23,30.38,-86.5,"USMCOB","USMCOB-CB24975",NA,00:00:00,2,"mark-recapture",NA,9,2004-04-23,21.0183111056685,20.8959929198027,35.1390117779374,-0.186162907630205,0.0720236822962761
"28",88,88,2004-04-28,30.325,-87.158,"USMCOB","USMCOB-RC23055",1.24,00:00:00,2,"mark-recapture",0.82608351111412,10,2004-04-28,21.7815179899335,21.9023712873459,34.6446119248867,-0.0170903652906418,-0.00610370188951492
"29",89,89,2004-05-01,29.796667,-88.288333,"USMCOB","USMCOB-RC34692",1.07,00:00:00,2,"mark-recapture",NA,11,2004-05-01,22.4429151266813,19.6794030591846,28.3028656616807,0.00122074037790298,-0.0720236822962761
"30",94,94,2004-05-22,29.0667,-88.95,"USMCOB","USMCOB-ST32901",NA,00:00:00,2,"mark-recapture",8.8093372186025,11,2004-05-22,26.2743308767676,20.1349833682179,22.9850153904408,-0.112308114767075,-0.134281441569328
"31",99,99,2004-06-19,29.425,-88.615,"USMCOB","USMCOB-CB24976",1.27,00:00:00,2,"mark-recapture",NA,11,2004-06-19,29.6208685487509,21.0498062074184,24.6559037826955,0.0244148075580597,-0.0146488845348358
"32",121,121,2005-04-05,30.333,-87.15,"USMCOB","USMCOB-RC27566",0.84,00:00:00,2,"mark-recapture",NA,10,2005-04-05,19.754844814539,20.9421369060874,28.6370433401316,0.160527359694242,0.165410321205854
"33",150,150,2005-05-07,29.188,-93.309,"USMCOB","USMCOB-T998",1.07,00:00:00,2,"mark-recapture",NA,16,2005-05-07,22.2466200739145,22.1250343322754,33.4070863667876,-0.131839960813522,-0.0109866634011269
"34",159,159,2005-05-28,28.795,-90.233,"USMCOB","USMCOB-RC29973",NA,00:00:00,2,"mark-recapture",NA,13,2005-05-28,26.8265938237309,22.9673451930285,21.26529738307,-0.0225836969912052,0.0622577592730522
"35",209,209,2006-04-21,27.458,-80.282,"USMCOB","USMCOB-RC30805",NA,00:00:00,2,"mark-recapture",NA,5,2006-04-21,25.8780785501003,25.6935026049614,36.1796929500997,-0.078127384185791,0.104983672499657
"36",1224,1224,2015-04-03,27.861,-80.447,"USMCOB","USMCOB-RC56711",0.79,00:00:00,2,"mark-recapture",NA,5,2015-04-03,24.4534745290875,24.2623065859079,36.5565965417773,-0.0286873988807201,0.0555436871945858
"37",2231,2231,2015-09-15,30.194,-88.989,"USMCOB","USMCOB-RC54543",0.74,00:00:00,2,"mark-recapture",NA,11,2015-09-15,27.873256623745,27.9677419289947,23.0750449933112,-0.0628681294620037,-0.0683614611625671
"38",33405,33405,2016-06-27,30.266,-88.12,"USMCOB","USMCOB-RC58091",0.74,00:00:00,2,"mark-recapture",NA,11,2016-06-27,29.8069093823433,30.1467635035515,19.5898312143981,0.0585955381393433,-0.0335703603923321
"39",38244,38244,2016-08-03,30.193,-87.587,"USMCOB","USMCOB-RC46881",NA,00:00:00,2,"mark-recapture",NA,10,2016-08-03,30.3196203410625,27.9164708331227,24.7337259817868,0.121463667601347,0.00549333170056343
"40",61246,61246,2017-03-29,30.289,-87.3,"USMCOB","USMCOB-RC55684",0.86,00:00:00,2,"mark-recapture",5.71589767932892,10,2017-03-29,21.5456709489226,20.8608355969191,28.8598284590989,0.218512527644634,0.0445570237934589
"41",84160,84160,2017-07-20,34.717,-76.726,"USMCOB","USMCOB-RC56839",0.99,00:00:00,2,"mark-recapture",NA,7,2017-07-20,NA,NA,NA,NA,NA
"42",89015,89015,2017-10-11,28.785,-82.62,"USMCOB","USMCOB-RC56744",0.83,00:00:00,2,"mark-recapture",NA,6,2017-10-11,NA,NA,NA,NA,NA
"43",106211,106211,2018-05-22,30.3,-87.15,"USMCOB","USMCOB-RC56169",0.41,00:00:00,2,"mark-recapture",NA,10,2018-05-22,26.9664906710386,26.6764427572489,30.5368205532432,-0.264900662004948,-0.0714133121073246
"44",110306,110306,2018-06-15,30.0649,-88.50498,"USMCOB","USMCOB-RC56762",1.32,00:00:00,2,"mark-recapture",2.57119736671448,11,2018-06-15,28.9580065235496,25.5308999866247,18.1981871835887,0.0683614611625671,-0.037232581526041
"45",137190,137190,2019-06-12,30.214417,-87.05355,"USMCOB","USMCOB-RC61353",0.56,00:00:00,2,"mark-recapture",NA,10,2019-06-12,27.7377544417977,24.9559312686324,25.7316812407225,0.106814783066511,0.00061037018895149
"46",138779,138779,2019-06-22,29.95,-88.17,"USMCOB","USMCOB-RC40843",1.09,00:00:00,2,"mark-recapture",NA,11,2019-06-22,29.033448278904,23.4009521752596,24.3980223778635,0.219733268022537,-0.00244148075580597
"47",139106,139106,2019-06-25,29.287183,-88.759733,"USMCOB","USMCOB-RC54150",0.97,00:00:00,2,"mark-recapture",NA,11,2019-06-25,29.9277626797557,21.425550095737,28.6019470542669,0.485854670405388,0.579851679503918
"48",142338,142338,2019-07-18,30.367,-86.497,"USMCOB","USMCOB-RC61380",0.75,00:00:00,2,"mark-recapture",3.4801127910614,9,2019-07-18,29.6194036602974,28.8122501224279,31.5195165574551,0.0848414562642574,-0.0256355479359627
"49",142389,142389,2019-07-22,30.0108,-87.134,"USMCOB","USMCOB-RC61363",0.71,00:00:00,2,"mark-recapture",NA,10,2019-07-22,29.2041077837348,24.4131900966167,30.7611315976828,0.185552537441254,-0.00244148075580597
"50",145639,145639,2019-09-28,30.406,-88.834,"USMCOB","USMCOB-RC56113",1.07,00:00:00,2,"mark-recapture",NA,11,2019-09-28,28.8474074453115,28.8605914413929,20.4428235534579,0.130008850246668,0.00305185094475746
"51",160290,160290,2020-06-20,29.772867,-87.541483,"USMCOB","USMCOB-RC58270",0.99,00:00:00,2,"mark-recapture",NA,10,2020-06-20,27.9633472636342,24.9566637128592,33.2468641921878,-0.115359965711832,-0.0128177739679813
"52",160385,160385,2020-06-22,29.09,-88.44,"USMCOB","USMCOB-RC52680",0.89,00:00:00,2,"mark-recapture",NA,11,2020-06-22,28.3493453711271,12.1432844102383,35.451826499775,0.281991027295589,0.146488845348358
"53",164894,164894,2020-07-16,28.61,-91.12,"USMCOB","USMCOB-RC48888",NA,00:00:00,2,"mark-recapture",NA,14,2020-07-16,30.2273323684931,27.0038453266025,30.2362132351846,0.275276955217123,-0.0634784996509552
"54",170154,170154,2020-08-01,28.88,-90.19,"USMCOB","USMCOB-RC53171",1.35,00:00:00,2,"mark-recapture",NA,13,2020-08-01,29.4026001691818,28.2468031793833,28.1807916238904,0.212408825755119,-0.00610370188951492
"55",171865,171865,2020-08-16,30.228933,-89.010733,"USMCOB","USMCOB-RC59781",0.61,00:00:00,2,"mark-recapture",NA,12,2020-08-16,31.3574938103557,33.1666310504079,21.1737418547273,0.0842310860753059,-0.0164799951016903
"56",174210,174210,2020-10-08,30.309167,-86.273333,"USMCOB","USMCOB-RC61353",NA,00:00:00,3,"mark-recapture",2.04470787729536,9,2020-10-08,25.884670548141,25.4173711314797,33.0195012968034,-0.177007354795933,0.107425153255463
"57",174422,174422,2020-10-27,27.9074,-82.4553,"USMCOB","USMCOB-RC61950",0.3,00:00:00,2,"mark-recapture",NA,5,2020-10-27,NA,NA,NA,NA,NA
"58",228964,228964,2021-10-16,30.2479,-87.6435,"USMCOB","USMCOB-RC63120",0.61,00:00:00,2,"mark-recapture",NA,10,2021-10-16,NA,NA,NA,NA,NA
"59",244153,244153,2022-01-11,28.408,-80.535,"USMCOB","USMCOB-RC62866",0.75,00:00:00,2,"mark-recapture",NA,6,2022-01-11,22.9241309836507,22.9233985394239,36.4085817709565,-0.079348124563694,-0.402233954519033
"60",273919,273919,2022-04-23,29.8172,-83.5921,"USMCOB","USMCOB-RC61745",0.86,00:00:00,2,"mark-recapture",NA,7,2022-04-23,22.9439069777727,22.784234136343,33.8648640085012,0.00244148075580597,-0.00732444226741791
"61",281756,281756,2022-06-02,36.844,-75.9695,"USMCOB","USMCOB-RC61346",0.94,00:00:00,2,"mark-recapture",NA,7,2022-06-02,NA,NA,NA,NA,NA
"62",284699,284699,2022-07-15,28.855,-90.489,"USMCOB","USMCOB-RC62035",NA,00:00:00,2,"mark-recapture",NA,13,2022-07-15,30.7546922117472,31.9668874070048,29.0841395035386,0.0927762687206268,0.0799584947526455
