"","...1","X","datecollected","latitude","longitude","project_shortcode","catalogNumber","length","timeofday","interaction_order","data_source","mean.chlorophyll","zone","date","temp","bottom_temp","salinity","east_velo","north_velo","region"
"1",1,1,2003-01-19,28.859,-88.063,"USMCOB","USMCOB-RC33703",1.02,00:00:00,2,"mark-recapture",0.332176834344864,11,2003-01-19,19.397412031889,4.08200325071812,35.8485671225935,0.183721426874399,-0.15930661931634,"NCentral_GOA_Shelf"
"2",2,2,2003-02-25,24.924,-80.625,"USMCOB","USMCOB-RC37237",NA,00:00:00,2,"mark-recapture",NA,NA,2003-02-25,23.6814783141017,23.655110321939,36.2163151614368,-0.0469985045492649,0.0640888698399067,"SFL_Shelf"
"3",3,3,2003-03-18,30.315,-87.203,"USMCOB","USMCOB-RC38801",1.19,00:00:00,1,"mark-recapture",NA,10,2003-03-18,18.988708153367,19.3725089281797,27.6268806774169,0.130619220435619,-0.00976592302322388,"FL_Panhandle"
"4",4,4,2003-03-26,24.563,-81.726,"USMCOB","USMCOB-RC29197",0.91,00:00:00,2,"mark-recapture",NA,1,2003-03-26,25.3675649240613,25.5089266598225,36.0530411358923,-0.152592547237873,-0.143436994403601,"SFL_Shelf"
"5",5,5,2003-03-27,30.315,-87.203,"USMCOB","USMCOB-RC36816",1.19,00:00:00,1,"mark-recapture",NA,10,2003-03-27,20.3539841920137,21.0556657612324,25.6721701472998,-0.0616473890841007,0.0305185094475746,"FL_Panhandle"
"6",6,6,2003-03-27,30.38,-86.5,"USMCOB","USMCOB-RC38141",0.84,00:00:00,1,"mark-recapture",NA,9,2003-03-27,20.0719931647182,20.7326578572392,31.9742423482239,-0.0878933072090149,0.0988799706101418,"FL_Panhandle"
"7",7,7,2003-03-28,30.246,-88.782,"USMCOB","USMCOB-RC37801",0.85,00:00:00,1,"mark-recapture",NA,11,2003-03-28,20.9472640156746,22.5681630894542,12.3035370837897,-0.0695822015404701,0.0079348124563694,"NCentral_GOA_Shelf"
"8",8,8,2003-03-28,30.378,-86.862,"USMCOB","USMCOB-RC38142",0.89,00:00:00,1,"mark-recapture",NA,9,2003-03-28,20.2463148906827,20.7509689629078,31.6019165329635,-0.200201421976089,0.0714133121073246,"FL_Panhandle"
"9",9,9,2003-04-03,30.333,-87.15,"USMCOB","USMCOB-RC32878",1.22,00:00:00,2,"mark-recapture",3.70929944515228,10,2003-04-03,18.9161961749196,20.6271858885884,27.5292214471847,0.0592059083282948,0.0787377543747425,"FL_Panhandle"
"10",10,10,2003-04-06,30.315,-87.203,"USMCOB","USMCOB-RC39419",0.97,00:00:00,1,"mark-recapture",NA,10,2003-04-06,20.4675130471587,21.0036622211337,26.6167180147022,0.0415051728487015,0.0512710958719254,"FL_Panhandle"
"11",11,11,2003-04-08,24.924,-80.625,"USMCOB","USMCOB-T1080",0.95,00:00:00,2,"mark-recapture",NA,NA,2003-04-08,25.4349497929215,25.4752342253923,36.1095003783703,-0.0103762932121754,0.190435498952866,"SFL_Shelf"
"12",12,12,2003-04-13,30.35,-87,"USMCOB","USMCOB-RC36817",0.69,00:00:00,1,"mark-recapture",NA,10,2003-04-13,20.3320108652115,20.2404553368688,32.3801385238767,0.340586565434933,0.0140385143458843,"FL_Panhandle"
"13",13,13,2003-04-13,30.378,-86.862,"USMCOB","USMCOB-RC39443",1.09,00:00:00,1,"mark-recapture",NA,9,2003-04-13,20.2551042214036,20.5356303602457,34.1303750406951,0.222174748778343,-0.0897244177758694,"FL_Panhandle"
"14",14,14,2003-04-16,29.212,-80.998,"USMCOB","USMCOB-RC30039",0.97,00:00:00,2,"mark-recapture",NA,7,2003-04-16,22.4846644476056,22.3315836042166,36.2315744161606,-0.0701925717294216,0.0439466536045074,"EFL_Shelf"
"15",15,15,2003-04-16,30.271,-85.986,"USMCOB","USMCOB-RC37659",1.02,00:00:00,1,"mark-recapture",NA,8,2003-04-16,21.0300302132964,20.5187841430306,35.2122562006116,-0.102542191743851,0.115359965711832,"FL_Panhandle"
"16",16,16,2003-04-16,30.315,-87.203,"USMCOB","USMCOB-RC39453",1.09,00:00:00,1,"mark-recapture",NA,10,2003-04-16,21.3632923364639,22.1916867569089,26.7387920524925,0.04089480265975,0.102542191743851,"FL_Panhandle"
"17",17,17,2003-04-16,30.38,-86.5,"USMCOB","USMCOB-RC38001",0.89,00:00:00,1,"mark-recapture",NA,9,2003-04-16,21.0959501937032,21.0856959745288,34.3806268181652,-0.0573747977614403,0.102542191743851,"FL_Panhandle"
"18",18,18,2003-04-18,30.315,-87.203,"USMCOB","USMCOB-RC39349",1.12,00:00:00,1,"mark-recapture",NA,10,2003-04-18,22.0708334594965,22.4736777842045,26.1986144352704,0.219122897833586,-0.00915555283427238,"FL_Panhandle"
"19",19,19,2003-04-19,28.14,-82.8,"USMCOB","USMCOB-RC37378",0.81,00:00:00,2,"mark-recapture",NA,6,2003-04-19,23.6309396624565,23.4478286057711,33.8908047415316,-0.04089480265975,-0.0482192449271679,"WFL_Shelf"
"20",20,20,2003-04-21,29.281,-84.953,"USMCOB","USMCOB-RC36816",1.19,00:00:00,2,"mark-recapture",NA,7,2003-04-21,21.777123324573,20.5700552389026,35.6242560781538,-0.0958281196653843,0.0347911007702351,"FL_Panhandle"
"21",21,21,2003-04-21,29.648479,-88.826419,"USMCOB","USMCOB-RC33401",0.85,00:00:00,1,"mark-recapture",NA,11,2003-04-21,23.3101290911436,23.0559709444642,18.34009825252,-0.0604266487061977,-0.122074037790298,"NCentral_GOA_Shelf"
"22",22,22,2003-04-23,30.315,-87.203,"USMCOB","USMCOB-RC39437",0.86,00:00:00,1,"mark-recapture",NA,10,2003-04-23,22.7014679387212,23.2156437858939,29.3465986847878,0.00305185094475746,-0.0299081392586231,"FL_Panhandle"
"23",23,23,2003-04-23,30.378,-86.862,"USMCOB","USMCOB-RC33443",0.79,00:00:00,1,"mark-recapture",NA,9,2003-04-23,23.1731620207429,23.433912165463,33.703115908429,-0.0366222113370895,-0.00427259132266045,"FL_Panhandle"
"24",24,24,2003-04-23,30.393,-86.688,"USMCOB","USMCOB-RC38022",0.91,00:00:00,1,"mark-recapture",NA,9,2003-04-23,22.7534714788198,21.7214575633407,34.2997527681291,-0.0567644275724888,0.00122074037790298,"FL_Panhandle"
"25",25,25,2003-04-26,30.244,-88.777,"USMCOB","USMCOB-RC36866",0.93,00:00:00,2,"mark-recapture",NA,11,2003-04-26,24.5618762746453,24.7288735583425,9.70793785527349,0.207525864243507,-0.0903347879648209,"NCentral_GOA_Shelf"
"26",26,26,2003-04-26,30.315,-87.203,"USMCOB","USMCOB-RC38816",0.91,00:00:00,1,"mark-recapture",NA,10,2003-04-26,22.7798394709826,23.2178411185741,30.249946564436,0.0354014709591866,-0.172124393284321,"FL_Panhandle"
"27",27,27,2003-04-26,30.315,-87.203,"USMCOB","USMCOB-RC38838",0.94,00:00:00,1,"mark-recapture",NA,10,2003-04-26,22.7798394709826,23.2178411185741,30.249946564436,0.0354014709591866,-0.172124393284321,"FL_Panhandle"
"28",28,28,2003-04-30,30.315,-87.203,"USMCOB","USMCOB-RC38103",0.99,00:00:00,1,"mark-recapture",NA,10,2003-04-30,23.0816064924002,23.1856135725975,33.8862269651145,-0.10620441287756,0.0219733268022537,"FL_Panhandle"
"29",29,29,2003-05-02,29.38,-88.62,"USMCOB","USMCOB-RC34698",0.88,00:00:00,2,"mark-recapture",NA,11,2003-05-02,24.0953093022108,19.7270119339228,25.5607775878161,-0.0714133121073246,-0.191045869141817,"NCentral_GOA_Shelf"
"30",30,30,2003-05-03,29.336,-88.11,"USMCOB","USMCOB-RC30362",1.14,00:00:00,2,"mark-recapture",NA,11,2003-05-03,23.9026764705777,19.6273995190859,31.2860499601811,-0.150151066482067,-0.0299081392586231,"NCentral_GOA_Shelf"
"31",31,31,2003-05-03,29.988,-88.215,"USMCOB","USMCOB-RC33473",1.05,00:00:00,2,"mark-recapture",NA,11,2003-05-03,24.8541215211153,20.9597155675292,17.3757133539766,0.0225836969912052,-0.117801446467638,"NCentral_GOA_Shelf"
"32",32,32,2003-05-05,27.025,-82.469,"USMCOB","USMCOB-RC30575",1.02,00:00:00,2,"mark-recapture",NA,5,2003-05-05,27.0353404283524,26.97967466712,36.0927151981741,-0.109866634011269,0.190435498952866,"WFL_Shelf"
"33",33,33,2003-05-12,30.315,-87.203,"USMCOB","USMCOB-RC34825",0.71,00:00:00,1,"mark-recapture",NA,10,2003-05-12,26.5028534755111,26.4757530391216,30.0668355077505,0.177617724984884,-0.133671071380377,"FL_Panhandle"
"34",34,34,2003-05-14,26.955,-82.06,"USMCOB","USMCOB-RC36450",0.83,00:00:00,2,"mark-recapture",NA,4,2003-05-14,29.2041077837348,29.0971709266305,36.245307745412,0.0665303505957127,-0.00976592302322388,"WFL_Shelf"
"35",35,35,2003-05-25,28.795,-89.989,"USMCOB","USMCOB-RC33401",0.91,00:00:00,2,"mark-recapture",11.4864190419515,13,2003-05-25,26.4449903815985,22.0202948078513,24.9122592620552,-0.148319955915213,-0.116580706089735,"NCentral_GOA_Shelf"
"36",36,36,2003-06-14,28.568,-94.809,"USMCOB","USMCOB-RC38141",1.02,00:00:00,2,"mark-recapture",NA,18,2003-06-14,27.7941526472569,22.7542039230466,32.1771904360503,0.0854518264532089,0.0311288796365261,"TX_Shelf"
"37",37,37,2003-06-17,30.079,-87.3,"USMCOB","USMCOB-RC34690",1.32,00:00:00,2,"mark-recapture",NA,10,2003-06-17,29.0231940597296,22.8318430110812,27.1782585885376,-0.0238044373691082,0.0366222113370895,"FL_Panhandle"
"38",38,38,2003-06-22,30.216,-88.994,"USMCOB","USMCOB-T991",0.79,00:00:00,1,"mark-recapture",NA,11,2003-06-22,29.0678731575608,31.9214758649468,14.319284632802,0.100711081176996,0.00915555283427238,"NCentral_GOA_Shelf"
"39",39,39,2003-06-26,29.475,-91.34,"USMCOB","USMCOB-RC37239",NA,00:00:00,2,"mark-recapture",NA,14,2003-06-26,29.9651173353195,29.8354747071862,24.2774742655456,-0.0225836969912052,0.0311288796365261,"NCentral_GOA_Shelf"
"40",40,40,2003-07-01,28.916667,-82.95,"USMCOB","USMCOB-RC37371",0.89,00:00:00,2,"mark-recapture",NA,6,2003-07-01,29.2605059891939,29.2597735449672,36.0683003906161,-0.0634784996509552,0.123905148357153,"WFL_Shelf"
"41",41,41,2003-07-10,25,-81.5,"USMCOB","USMCOB-RC38022",0.99,00:00:00,2,"mark-recapture",NA,3,2003-07-10,29.2077700048685,29.1975157856941,35.7646412216127,-0.0860621966421604,0.0671407207846642,"SFL_Shelf"
"42",42,42,2003-07-11,28.662,-92.409,"USMCOB","USMCOB-RC39437",NA,00:00:00,2,"mark-recapture",0.346152007579803,15,2003-07-11,28.8012634590268,23.8147831633687,33.7107455357909,0.0366222113370895,-0.0439466536045074,"NCentral_GOA_Shelf"
"43",43,43,2003-07-12,29.347,-88.282,"USMCOB","USMCOB-RC36502",0.94,00:00:00,2,"mark-recapture",NA,11,2003-07-12,28.6657612770796,21.5083162933588,23.9600817672908,0.0469985045492649,-0.0750755332410336,"NCentral_GOA_Shelf"
"44",44,44,2003-07-17,35.594,-75.459,"USMCOB","USMCOB-RC28499",NA,00:00:00,2,"mark-recapture",NA,7,2003-07-17,NA,NA,NA,NA,NA,"EFL_Shelf"
"45",45,45,2003-08-02,28.528,-90.027,"USMCOB","USMCOB-RC38001",0.99,00:00:00,2,"mark-recapture",NA,13,2003-08-02,29.4113894999027,16.9759514182806,33.4040345158428,0.215460676699877,0.0903347879648209,"NCentral_GOA_Shelf"
