"","data_source","max_interaction","number_of_fish"
"1","acoustic",83280,1
"2","acoustic",9858,1
"3","acoustic",9234,1
"4","acoustic",5960,1
"5","acoustic",5503,1
"6","acoustic",5421,1
"7","acoustic",4785,1
"8","acoustic",4693,1
"9","acoustic",4677,1
"10","acoustic",3606,1
"11","acoustic",3427,1
"12","acoustic",3369,1
"13","acoustic",3339,1
"14","acoustic",3230,1
"15","acoustic",3158,1
"16","acoustic",2902,1
"17","acoustic",2715,1
"18","acoustic",2669,1
"19","acoustic",2637,1
"20","acoustic",2592,1
"21","acoustic",2365,1
"22","acoustic",2263,1
"23","acoustic",2170,1
"24","acoustic",2125,1
"25","acoustic",2094,1
"26","acoustic",1977,1
"27","acoustic",1935,1
"28","acoustic",1860,1
"29","acoustic",1856,1
"30","acoustic",1774,1
"31","acoustic",1752,1
"32","acoustic",1751,1
"33","acoustic",1740,1
"34","acoustic",1674,1
"35","acoustic",1657,1
"36","acoustic",1652,1
"37","acoustic",1578,1
"38","acoustic",1563,1
"39","acoustic",1548,1
"40","acoustic",1540,1
"41","acoustic",1530,1
"42","acoustic",1520,1
"43","acoustic",1516,1
"44","acoustic",1511,1
"45","acoustic",1491,1
"46","acoustic",1450,1
"47","acoustic",1447,1
"48","acoustic",1363,1
"49","acoustic",1281,1
"50","acoustic",1276,1
"51","acoustic",1271,1
"52","acoustic",1250,1
"53","acoustic",1217,1
"54","acoustic",1199,1
"55","acoustic",1159,2
"56","acoustic",1155,1
"57","acoustic",1131,1
"58","acoustic",1128,1
"59","acoustic",1125,1
"60","acoustic",1104,1
"61","acoustic",1102,1
"62","acoustic",1101,1
"63","acoustic",1086,1
"64","acoustic",1029,1
"65","acoustic",1027,1
"66","acoustic",993,1
"67","acoustic",981,1
"68","acoustic",976,1
"69","acoustic",960,1
"70","acoustic",937,1
"71","acoustic",907,1
"72","acoustic",890,1
"73","acoustic",882,1
"74","acoustic",880,1
"75","acoustic",871,1
"76","acoustic",869,1
"77","acoustic",867,1
"78","acoustic",749,1
"79","acoustic",744,1
"80","acoustic",702,1
"81","acoustic",689,1
"82","acoustic",687,1
"83","acoustic",679,1
"84","acoustic",677,1
"85","acoustic",675,1
"86","acoustic",666,1
"87","acoustic",642,1
"88","acoustic",620,1
"89","acoustic",616,1
"90","acoustic",609,1
"91","acoustic",592,1
"92","acoustic",577,1
"93","acoustic",556,1
"94","acoustic",545,1
"95","acoustic",542,1
"96","acoustic",524,1
"97","acoustic",517,1
"98","acoustic",516,1
"99","acoustic",515,1
"100","acoustic",512,2
"101","acoustic",506,1
"102","acoustic",503,1
"103","acoustic",495,1
"104","acoustic",492,1
"105","acoustic",488,1
"106","acoustic",467,1
"107","acoustic",458,1
"108","acoustic",452,2
"109","acoustic",447,1
"110","acoustic",440,1
"111","acoustic",418,1
"112","acoustic",417,1
"113","acoustic",416,1
"114","acoustic",413,1
"115","acoustic",384,1
"116","acoustic",378,1
"117","acoustic",377,2
"118","acoustic",375,1
"119","acoustic",373,1
"120","acoustic",363,1
"121","acoustic",355,2
"122","acoustic",347,1
"123","acoustic",343,1
"124","acoustic",320,1
"125","acoustic",293,1
"126","acoustic",292,1
"127","acoustic",280,1
"128","acoustic",277,1
"129","acoustic",270,1
"130","acoustic",265,1
"131","acoustic",260,1
"132","acoustic",258,1
"133","acoustic",257,1
"134","acoustic",245,1
"135","acoustic",244,1
"136","acoustic",241,1
"137","acoustic",240,1
"138","acoustic",233,1
"139","acoustic",228,1
"140","acoustic",220,1
"141","acoustic",215,1
"142","acoustic",207,1
"143","acoustic",206,1
"144","acoustic",190,1
"145","acoustic",183,1
"146","acoustic",178,2
"147","acoustic",172,1
"148","acoustic",169,1
"149","acoustic",167,1
"150","acoustic",165,1
"151","acoustic",162,1
"152","acoustic",156,1
"153","acoustic",155,2
"154","acoustic",154,1
"155","acoustic",153,1
"156","acoustic",152,1
"157","acoustic",151,1
"158","acoustic",148,1
"159","acoustic",144,1
"160","acoustic",141,2
"161","acoustic",138,1
"162","acoustic",132,1
"163","acoustic",112,2
"164","acoustic",111,1
"165","acoustic",108,1
"166","acoustic",106,1
"167","acoustic",94,1
"168","acoustic",93,1
"169","acoustic",92,3
"170","acoustic",86,1
"171","acoustic",83,1
"172","acoustic",79,1
"173","acoustic",77,1
"174","acoustic",75,1
"175","acoustic",64,1
"176","acoustic",63,2
"177","acoustic",52,1
"178","acoustic",50,2
"179","acoustic",46,1
"180","acoustic",38,1
"181","acoustic",37,2
"182","acoustic",35,1
"183","acoustic",32,1
"184","acoustic",29,1
"185","acoustic",25,1
"186","acoustic",23,1
"187","acoustic",22,1
"188","acoustic",21,1
"189","acoustic",19,2
"190","acoustic",18,2
"191","acoustic",17,1
"192","acoustic",16,2
"193","acoustic",15,1
"194","acoustic",13,2
"195","acoustic",11,1
"196","acoustic",9,2
"197","acoustic",8,1
"198","acoustic",6,2
"199","acoustic",4,4
"200","acoustic",3,7
"201","acoustic",2,4
"202","mark-recapture",3,4
"203","mark-recapture",2,506
"204","mark-recapture",1,31
