"","data_source","zone","count"
"1","acoustic",3,1
"2","acoustic",4,5
"3","acoustic",5,50
"4","acoustic",6,40
"5","acoustic",7,136
"6","acoustic",NA,1
"7","mark-recapture",1,1
"8","mark-recapture",3,2
"9","mark-recapture",4,13
"10","mark-recapture",5,16
"11","mark-recapture",6,35
"12","mark-recapture",7,69
"13","mark-recapture",8,13
"14","mark-recapture",9,79
"15","mark-recapture",10,158
"16","mark-recapture",11,51
"17","mark-recapture",12,7
"18","mark-recapture",13,6
"19","mark-recapture",14,1
"20","mark-recapture",16,1
"21","mark-recapture",18,1
"22","mark-recapture",20,10
"23","mark-recapture",21,15
"24","mark-recapture",NA,2
