"","data_source","transition","number_of_fish"
"1","acoustic","5 -> 4",90
"2","acoustic","4 -> 5",68
"3","acoustic","6 -> 5",59
"4","acoustic","5 -> 6",44
"5","acoustic","6 -> 7",33
"6","acoustic","7 -> 6",29
"7","acoustic","4 -> 3",11
"8","acoustic","3 -> 6",9
"9","acoustic","4 -> 6",7
"10","acoustic","5 -> 3",7
"11","acoustic","7 -> 5",7
"12","acoustic","6 -> 4",4
"13","acoustic","5 -> 7",3
"14","acoustic","3 -> 5",2
"15","acoustic","3 -> 4",1
"16","acoustic","6 -> 3",1
"17","mark-recapture","10 -> 11",25
"18","mark-recapture","10 -> 9",23
"19","mark-recapture","9 -> 10",17
"20","mark-recapture","10 -> 13",17
"21","mark-recapture","9 -> 11",12
"22","mark-recapture","6 -> 7",11
"23","mark-recapture","9 -> 13",8
"24","mark-recapture","11 -> 13",8
"25","mark-recapture","10 -> 4",7
"26","mark-recapture","10 -> 14",7
"27","mark-recapture","7 -> 6",6
"28","mark-recapture","10 -> 5",6
"29","mark-recapture","10 -> 6",6
"30","mark-recapture","10 -> 15",5
"31","mark-recapture","5 -> 7",4
"32","mark-recapture","6 -> 5",4
"33","mark-recapture","7 -> 5",4
"34","mark-recapture","8 -> 10",4
"35","mark-recapture","9 -> 4",4
"36","mark-recapture","9 -> 12",4
"37","mark-recapture","10 -> 7",4
"38","mark-recapture","10 -> 17",4
"39","mark-recapture","10 -> 18",4
"40","mark-recapture","5 -> 4",3
"41","mark-recapture","10 -> 16",3
"42","mark-recapture","11 -> 9",3
"43","mark-recapture","11 -> 10",3
"44","mark-recapture","11 -> 12",3
"45","mark-recapture","6 -> 1",2
"46","mark-recapture","7 -> 10",2
"47","mark-recapture","8 -> 9",2
"48","mark-recapture","8 -> 11",2
"49","mark-recapture","9 -> 1",2
"50","mark-recapture","9 -> 5",2
"51","mark-recapture","9 -> 6",2
"52","mark-recapture","9 -> 14",2
"53","mark-recapture","9 -> 15",2
"54","mark-recapture","9 -> 18",2
"55","mark-recapture","10 -> 3",2
"56","mark-recapture","10 -> 8",2
"57","mark-recapture","10 -> 12",2
"58","mark-recapture","11 -> 5",2
"59","mark-recapture","12 -> 11",2
"60","mark-recapture","3 -> 1",1
"61","mark-recapture","3 -> 4",1
"62","mark-recapture","4 -> 1",1
"63","mark-recapture","4 -> 3",1
"64","mark-recapture","4 -> 5",1
"65","mark-recapture","4 -> 6",1
"66","mark-recapture","4 -> 7",1
"67","mark-recapture","5 -> 3",1
"68","mark-recapture","5 -> 6",1
"69","mark-recapture","6 -> 4",1
"70","mark-recapture","7 -> 4",1
"71","mark-recapture","8 -> 4",1
"72","mark-recapture","8 -> 6",1
"73","mark-recapture","8 -> 13",1
"74","mark-recapture","9 -> 2",1
"75","mark-recapture","9 -> 3",1
"76","mark-recapture","9 -> 8",1
"77","mark-recapture","9 -> 16",1
"78","mark-recapture","10 -> 1",1
"79","mark-recapture","10 -> 19",1
"80","mark-recapture","10 -> 20",1
"81","mark-recapture","11 -> 3",1
"82","mark-recapture","11 -> 4",1
"83","mark-recapture","11 -> 7",1
"84","mark-recapture","11 -> 8",1
"85","mark-recapture","11 -> 17",1
"86","mark-recapture","12 -> 13",1
"87","mark-recapture","13 -> 11",1
"88","mark-recapture","13 -> 12",1
"89","mark-recapture","13 -> 15",1
"90","mark-recapture","14 -> 11",1
"91","mark-recapture","16 -> 21",1
"92","mark-recapture","18 -> 17",1
"93","mark-recapture","21 -> 16",1
"94","mark-recapture","21 -> 19",1
"95","mark-recapture","21 -> 20",1
